DevId,Seqno,LogLine,RecvTime,TravelDelay,ProcDelay
1373892682,953614,22982,1774938175168,7206466,160
1373892682,953619,23245,1774938179893,7206190,268
1373892682,953624,23378,1774938185012,7206309,129
1373892682,953629,23649,1774938190220,7206517,123
1373892682,953634,23847,1774938194940,7206237,112
1373892682,953639,23974,1774938200050,7206347,181
1373892682,953644,24837,1774938235742,7237040,126
1373892682,953679,24962,1774938239936,7206234,162
1373892682,953684,25233,1774938244929,7206227,118
1373892682,953689,25431,1774938250159,7206456,134
1373892682,953694,25530,1774938254869,7206167,117
1373892682,953699,25827,1774938259983,7206281,176
1373892682,953704,26025,1774938264970,7206267,121
1373892682,953709,26223,1774938270117,7206415,143
1373892682,953714,26322,1774938274838,7206136,110
1373892682,953719,26619,1774938279949,7206247,148
1373892682,953724,26817,1774938285171,7206469,130
1373892682,953729,26916,1774938289891,7206188,151
1373892682,953734,27213,1774938295004,7206302,111
1373892682,953739,27411,1774938300225,7206523,119
1373892682,953744,27510,1774938304946,7206243,111
1373892682,953749,27807,1774938310062,7206359,156
1373892682,953754,28005,1774938315049,7206346,127
1373892682,953759,28195,1774938320196,7206493,123
1373892682,953764,28400,1774938324937,7206235,138
1373892682,953769,28500,1774938329828,7206125,152
1373892682,953774,28797,1774938334936,7206233,111
1373892682,953779,28995,1774938340158,7206455,152
1373892682,953784,29120,1774938344959,7206256,113
1373892682,953789,29391,1774938349989,7206287,151
1373892682,953794,29589,1774938355211,7206509,123
1373892682,953799,29688,1774938359933,7206230,158
1373892682,953804,29985,1774938365043,7206341,110
1373892682,953809,30183,1774938370262,7206559,117
1373892682,953814,30282,1774938374989,7206287,109
1373892682,953819,30579,1774938380105,7206403,166
1373892682,953824,30678,1774938384816,7206114,105
1373892682,953829,30975,1774938389925,7206222,160
1373892682,953834,31173,1774938395161,7206457,128
1373892682,953839,31298,1774938400169,7206467,152
1373892682,953844,31518,1774938404794,7206091,114
1373892682,953849,31759,1774938409898,7206196,184
1373892682,953854,31866,1774938414891,7206189,115
1373892682,953859,32163,1774938420031,7206328,165
1373892682,953864,32361,1774938425253,7206551,113
1373892682,953869,32460,1774938429977,7206275,151
1373892682,953919,33648,1774938480103,7206400,175
1373892682,953924,33846,1774938485133,7206430,119
1373892682,953929,33945,1774938489861,7206158,163
1373892682,953934,34242,1774938494963,7206261,114
1373892682,953939,35232,1774938543540,7249838,109
1373892682,953984,35331,1774938544760,7206058,109
1373892682,953989,35628,1774938549979,7206277,154
1373892682,953994,35826,1774938555202,7206500,110
1373892682,953999,35925,1774938559924,7206222,168
1373892682,954004,36222,1774938565032,7206330,125
1373892682,954009,36419,1774938569756,7206054,163
1373892682,954014,36617,1774938574863,7206161,122
1373892682,954019,36743,1774938580085,7206383,151
1373892682,954024,37006,1774938584807,7206105,140
1373892682,954029,37204,1774938589916,7206214,174
1373892682,954034,37402,1774938595141,7206439,114
1373892682,954039,37509,1774938599861,7206159,183
1373892682,954044,37608,1774938604970,7206268,115
1373892682,954049,37707,1774938609953,7206250,157
1373892682,954054,37806,1774938615108,7206405,118
1373892682,954059,37905,1774938619828,7206125,162
1373892682,954064,38004,1774938624937,7206234,109
1373892682,954069,38103,1774938630174,7206471,171
1373892682,954074,38301,1774938634883,7206180,109
1373892682,954079,38525,1774938639990,7206287,174
1373892682,954084,38796,1774938645214,7206512,142
1373892682,954089,38895,1774938649936,7206233,152
1373892682,954094,39119,1774938655042,7206340,121
1373892682,954099,39291,1774938659767,7206065,162
1373892682,954104,39580,1774938665184,7206481,142
1373892682,954109,39687,1774938669905,7206203,172
1373892682,954114,39984,1774938675022,7206320,105
1373892682,954119,40875,1774938716534,7242832,106
1373892682,954159,41073,1774938720208,7206506,137
1373892682,954164,41172,1774938724898,7206196,119
1373892682,954169,41370,1774938730003,7206301,151
1373892682,954174,41667,1774938735227,7206525,121
1373892682,954179,41865,1774938739948,7206246,160
1373892682,954184,42063,1774938745054,7206352,106
1373892682,954189,42260,1774938749789,7206087,187
1373892682,954194,42459,1774938754884,7206181,128
1373892682,954199,42657,1774938760129,7206427,148
1373892682,954204,42782,1774938764829,7206126,121
1373892682,954209,42980,1774938769938,7206235,161
1373892682,954214,43243,1774938775163,7206460,116
1373892682,954219,43376,1774938779955,7206253,235
1373892682,954224,43548,1774938784992,7206289,109
1373892682,954229,43837,1774938790224,7206522,126
